yelp_id,name,phone,display_phone,address,city,state,zip_code,categories,rating,review_count,is_closed,yelp_url,latitude,longitude,website,website_method,website_verified
02azPaYWY3IijJihmWTIIA,Rescue Air and Plumbing,+19726002022,(972) 600-2022,"9639 Greenville Ave Dallas, TX 75243",Dallas,TX,75243,"Heating & Air Conditioning/HVAC, Air Duct Cleaning, Plumbing",4.5,564,False,https://www.yelp.com/biz/rescue-air-and-plumbing-dallas?adjust_creative=rBIH4YYrKpenx0IENt2oyA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rBIH4YYrKpenx0IENt2oyA,32.907411,-96.748426,NONE,none,False
UrNkdFx65mx7ljFrW0Q-ng,Rescue Cell Phone,+19728538008,(972) 853-8008,"6121 Greenville Ave Ste 820 Dallas, TX 75206",Dallas,TX,75206,IT Services & Computer Repair,3.4,57,False,https://www.yelp.com/biz/rescue-cell-phone-dallas-4?adjust_creative=rBIH4YYrKpenx0IENt2oyA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rBIH4YYrKpenx0IENt2oyA,32.860452,-96.768381,NONE,none,False
RUdWO-zPz7O07boAQZuRQg,Rescue Mobile Diesel Repair,+14696862903,(469) 686-2903,"Dallas, TX 75231",Dallas,TX,75231,"Auto Repair, Commercial Truck Repair",1.0,1,False,https://www.yelp.com/biz/rescue-mobile-diesel-repair-dallas-2?adjust_creative=rBIH4YYrKpenx0IENt2oyA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rBIH4YYrKpenx0IENt2oyA,32.877652784094806,-96.74977805721194,NONE,none,False
gvdkTdxr_qHXPTLnyz05Fg,Rescue Yoga,+19728005819,(972) 800-5819,"3630 N Josey Ln Ste 217 Carrollton, TX 75007",Carrollton,TX,75007,"Yoga, Pilates",4.5,14,False,https://www.yelp.com/biz/rescue-yoga-carrollton-4?adjust_creative=rBIH4YYrKpenx0IENt2oyA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rBIH4YYrKpenx0IENt2oyA,33.01034319527974,-96.88594123939366,http://yelp-ir.com/,from_yelp,False
-pD4lyCP7qTX6br7SfE-_g,Rescue Air Heating and Cooling,+19722013253,(972) 201-3253,"1002 N Central Expy Ste 106 Richardson, TX 75080",Richardson,TX,75080,"Heating & Air Conditioning/HVAC, Plumbing",5.0,2,False,https://www.yelp.com/biz/rescue-air-heating-and-cooling-richardson-6?adjust_creative=rBIH4YYrKpenx0IENt2oyA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rBIH4YYrKpenx0IENt2oyA,32.96132593282583,-96.72591118124592,http://yelp-ir.com/,from_yelp,True
t4ZJ3jCw7EXvgoOLdDipkA,Animal Rescue of Texas,+12142767802,(214) 276-7802,"4447 N Central Expwy Ste 110, PMB 116 Ste 110, PMB 116 Dallas, TX 75205",Dallas,TX,75205,Animal Shelters,4.3,6,False,https://www.yelp.com/biz/animal-rescue-of-texas-dallas?adjust_creative=rBIH4YYrKpenx0IENt2oyA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rBIH4YYrKpenx0IENt2oyA,32.820421,-96.787629,NONE,none,False
kjWddMNM6yoYFmMBTdUUHw,VCA Katy Trail Animal Hospital,+12143634463,(214) 363-4463,"4151 McKinney Ave. Dallas, TX 75204",Dallas,TX,75204,"Veterinarians, Emergency Pet Hospital",4.6,140,False,https://www.yelp.com/biz/vca-katy-trail-animal-hospital-dallas?adjust_creative=rBIH4YYrKpenx0IENt2oyA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rBIH4YYrKpenx0IENt2oyA,32.81591280834318,-96.79158577054947,NONE,none,False
uAQlsuKZNTs0AD73dyT6Cg,Humane Society of Dallas County - Dog & Kitty City,+12143507387,(214) 350-7387,"2719 Manor Way Dallas, TX 75235",Dallas,TX,75235,"Animal Shelters, Pet Stores",3.5,43,False,https://www.yelp.com/biz/humane-society-of-dallas-county-dog-and-kitty-city-dallas?adjust_creative=rBIH4YYrKpenx0IENt2oyA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rBIH4YYrKpenx0IENt2oyA,32.82772703386394,-96.8394968,NONE,none,False
d-WYoqE4nJxLTghTw79AVw,Pooch Savers,+19402683789,(940) 268-3789,"6204 W Park Blvd Plano, TX 75093",Plano,TX,75093,"Pet Adoption, Community Service/Non-Profit, Animal Shelters",4.2,5,False,https://www.yelp.com/biz/pooch-savers-plano?adjust_creative=rBIH4YYrKpenx0IENt2oyA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rBIH4YYrKpenx0IENt2oyA,33.02577050901755,-96.83384504463804,NONE,none,False
NSVA3XdC9X2NHGdemOhUXQ,Insync Exotics,+19724426888,(972) 442-6888,"3430 Skyview Dr Wylie, TX 75098",Wylie,TX,75098,"Animal Shelters, Community Service/Non-Profit",4.5,56,False,https://www.yelp.com/biz/in-sync-exotics-wylie-2?adjust_creative=rBIH4YYrKpenx0IENt2oyA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=rBIH4YYrKpenx0IENt2oyA,33.035803775735914,-96.4922946214889,http://yelp-ir.com/,from_yelp,False
